Time (s),Voltage (P2D) (V),Voltage (sP2D) (V),Voltage Error (V),Voltage Error Percentage (%),Concentration (P2D) (mol/m³),Concentration (sP2D) (mol/m³),Concentration Error (mol/m³),Concentration Error Percentage (%),Stress (P2D) (Pa),Stress (sP2D) (Pa),Stress Error (Pa),Stress Error Percentage (%),Current (A)
49.0,4.153317528412501,4.1524713411128085,-0.0008461872996923248,-0.020373768533314095,29740.83966926103,29742.81986278729,1.9801935262621555,0.006658162810072933,1.7192523049331745e6,1.693629741044932e6,-25622.56388824247,-1.4903318038150537,0.12776
50.0,4.146424264911362,4.146256870767236,-0.00016739414412558773,-0.004037072268319029,29757.162404802333,29759.106062290688,1.943657488354802,0.00653172994761465,1.342341471896354e6,1.3183390388621497e6,-24002.433034204412,-1.7881018754710505,0.30059
51.0,4.21061702377532,4.207564668849912,-0.0030523549254084514,-0.07249186777551313,29766.839052948624,29768.74981975836,1.9107668097349233,0.006419112242103005,1.1215420326020764e6,1.0988960945916842e6,-22645.938010392245,-2.01917871574119,-1.1905
52.0,4.244037941502139,4.239258745343163,-0.004779196158976262,-0.11260964734176501,29781.107915925517,29782.973983343287,1.8660674177699548,0.006265943574154508,821586.225852544,800410.8069593514,-21175.418893192546,-2.577382413053387,-2.1659
53.0,4.228628865452399,4.225469451761202,-0.0031594136911969883,-0.07471484946359744,29806.22295569678,29808.01178920518,1.788833508398966,0.0060015437415798815,323107.08336151973,303942.7747681252,-19164.308593394526,-5.931256100613512,-1.5575
54.0,4.207651853460675,4.2060993037111265,-0.0015525497495483265,-0.036898246423866986,29823.957570925642,29825.584164250395,1.6265933247523208,0.005453982158082303,-5734.258674943308,-21330.431870670363,15596.173195727057,-271.98237958599327,-0.89464
55.0,4.1558954348967365,4.156894191901596,0.0009987570048597405,0.02403229389443378,29828.692571980948,29830.118733808584,1.4261618276359513,0.004781174448710471,-67875.34410365901,-79341.3403543053,11465.99625064629,-16.892726515147324,0.32348
56.0,4.072277404656563,4.078067421644466,0.005790016987902824,0.1421813008436523,29822.368462953982,29823.641471557527,1.2730086035444401,0.004268636829183437,82834.56613891531,74376.04707451255,-8458.51906440276,-10.211339853241515,2.7903
56.99999999999999,4.055670743148999,4.062268241123814,0.006597497974814459,0.16267341193708132,29797.292572692222,29798.448840981586,1.156268289363652,0.0038804474820753206,587896.2291216026,581625.1603508991,-6271.06877070351,-1.0666965461019107,3.4131999999999953
57.999999999999986,4.054971346209508,4.06084879991928,0.005877453709771885,0.1449443956062967,29764.940458536104,29766.131152494596,1.1906939584914653,0.004000323669889934,1.2046443619455607e6,1.1975344835536913e6,-7109.878391869366,-0.5902055923282252,3.2937000000000016
58.99999999999998,4.05324623426393,4.058664949852996,0.0054187155890659255,0.13368829022177492,29742.34252312758,29743.820019631163,1.4774965035830974,0.004967653447048427,1.597786552808286e6,1.5849933891897271e6,-12793.163618558785,-0.8006803910117649,3.2237000000000013
59.99999999999997,4.073158068118864,4.076616018017026,0.0034579498981619494,0.08489603988678396,29726.581280977443,29728.47689251969,1.8956115422479343,0.0063768232355093215,1.8424245060447177e6,1.8217310628829186e6,-20693.443161799107,-1.1231636951151611,2.3216000000000254
60.99999999999997,4.1041214346664034,4.1054254330496525,0.0013039983832490165,0.03177289960853728,29718.919101149135,29721.14757728274,2.2284761336049996,0.007498510043451855,1.922665891680052e6,1.8961682462827412e6,-26497.645397310844,-1.3781721261075077,1.26730000000003
61.999999999999964,4.109596890455259,4.110694100821799,0.0010972103665407573,0.02669873459095422,29722.32183382345,29724.674881277126,2.3530474536746624,0.007916768638838095,1.7886832386902638e6,1.7607081557339886e6,-27975.082956275204,-1.5640043106100516,1.0965000000000062
62.99999999999996,4.124194871758673,4.124701619377243,0.000506747618569392,0.01228718899874148,29728.191798026084,29730.571556625837,2.3797585997526767,0.008005056667828312,1.6198213425793557e6,1.5922568003178542e6,-27564.54226150154,-1.7017026221921843,0.722620000000016
63.99999999999995,4.162596037296396,4.1614393201353215,-0.0011567171610744609,-0.02778835973297443,29732.832129591945,29735.205862165745,2.3737325738002255,0.007983540092831387,1.4872685132744417e6,1.4606484359919203e6,-26620.077282521408,-1.789863568342032,-0.15333999999995643
64.99999999999994,4.141988992844134,4.1420442268598725,5.523401573892528e-5,0.0013335143051888786,29742.888528598614,29745.212201097285,2.3236724986709305,0.00781253137682527,1.255963640399811e6,1.2310498914473145e6,-24913.748952496564,-1.9836361619963592,0.3321799999999724
65.99999999999994,4.119330843835545,4.120698605966608,0.001367762131063266,0.033203502775458804,29750.558593120506,29752.815595944056,2.2570028235495556,0.007586421668302602,1.084140068795483e6,1.061135742809793e6,-23004.325985690113,-2.121896113594317,0.9002499999999677
66.99999999999993,4.126989777467579,4.127979687188754,0.00098990972117452,0.023986241172178346,29748.121640024878,29750.313612889866,2.1919728649882018,0.00736844124651888,1.1182632069540962e6,1.0970237255730191e6,-21239.481381077087,-1.8993275687687854,0.7160700000000131
67.99999999999993,4.143146797667183,4.14334998230388,0.00020318463669699582,0.0049041138685069,29745.192776887227,29747.32761710245,2.1348402152252675,0.007177093223897654,1.1568067644954612e6,1.137089131000592e6,-19717.63349486934,-1.7044880873833015,0.335630000000027
68.99999999999991,4.1435336126807325,4.143793149610747,0.0002595369300149031,0.006263661750459195,29747.5331776039,29749.617129653634,2.0839520497356716,0.007005461721123895,1.0882177099681858e6,1.069834678488324e6,-18383.03147986182,-1.6892788374487353,0.33391000000000015
69.99999999999991,4.1358824791921815,4.136588763423998,0.000706284231816845,0.017076989865408267,29751.004129571702,29753.03734046487,2.033210893168871,0.006834091663978204,1.0010817888156178e6,983980.8603885812,-17100.92842703662,-1.7082448824954422,0.5221099999999839
70.99999999999991,4.099407074043861,4.102064497381142,0.0026574233372809175,0.06482457802512161,29751.577776190356,29753.556160847274,1.9783846569189336,0.006649679797829744,974944.1924145096,959160.5342000644,-15783.658214445226,-1.6189294051135399,1.483299999999918
71.9999999999999,4.097926115509948,4.100548406517619,0.002622291007671862,0.06399068537978125,29744.469409615227,29746.40611064845,1.9367010332243808,0.00651112987276324,1.0997552388658982e6,1.0849844564048268e6,-14770.782461071387,-1.3430972582866236,1.5150999999999968
72.9999999999999,4.125434968118156,4.126373171204325,0.0009382030861688762,0.022741919177478725,29734.158210963604,29736.083890069538,1.9256791059342504,0.006476319565772043,1.279013507301411e6,1.2646264786637423e6,-14387.028637668584,-1.1248535340352863,0.7457100000000766
73.99999999999989,4.158149335785292,4.157523228030101,-0.0006261077551910077,-0.015057365780557361,29732.707045199964,29734.6381475076,1.9311023076370475,0.006494875507640008,1.274283553695801e6,1.2599658073924128e6,-14317.74630338815,-1.1235918616278482,-0.020391999999912907
74.99999999999989,4.170625990752809,4.169577944299019,-0.0010480464537900858,-0.025129236141381035,29740.583331857517,29742.51084367277,1.9275118152545474,0.006481082747256795,1.0887701135681719e6,1.0747186822350721e6,-14051.431333099725,-1.290578346888093,-0.2883499999999695
75.99999999999987,4.127479770839174,4.128647224893324,0.0011674540541504186,0.028284912803171875,29750.74480075619,29752.6436146435,1.898813887310098,0.006382407902816048,870317.1848650853,857026.7189872559,-13290.465877829352,-1.5270830116826444,0.7226199999998708
76.99999999999987,4.105486259860946,4.10784037550396,0.002354115643013799,0.05734072638434633,29751.2456455196,29753.090465141086,1.8448196214849304,0.006200814727106229,853130.3148971932,841068.3778169473,-12061.93708024593,-1.4138446225181271,1.3118999999999246
77.99999999999987,4.090825443474103,4.093887340468662,0.0030618969945583885,0.07484790140441913,29741.723574908505,29743.514182440696,1.7906075321916433,0.006020523752370164,1.0308286131866755e6,1.0199465884326047e6,-10882.024754070793,-1.0556580031699352,1.7348999999999462
