Time (s),Voltage (P2D) (V),Voltage (sP2D) (V),Voltage Error (V),average Voltage Error (V),Voltage Error Percentage (%),average Voltage Error Percentage (%),Concentration (P2D) (mol/m³),Concentration (sP2D) (mol/m³),Concentration Error (mol/m³),average Concentration Error (mol/m³),Concentration Error Percentage (%),average Concentration Error Percentage (%),Stress (P2D) (Pa),Stress (sP2D) (Pa),Stress Error (Pa),average Stress Error (Pa),Stress Error Percentage (%),average Stress Error Percentage (%),Current (A)
868.9999999999818,4.074553180942218,4.0774053053142945,0.002852124372076048,0.0019320700892876829,0.06999845738708728,0.04742568353381119,29023.700442259316,29039.305565022947,15.605122763630789,12.833403102918732,0.0537668268547497,0.04419217205800208,249058.45409583647,247584.42084159428,-1474.033254242182,25594.918284453295,-0.5918422884271903,12.435996071915893,1.0916999999749637
869.9999999999817,4.073900822043462,4.076469332957639,0.002568510914176869,0.0019320700892876829,0.06304794903888966,0.04742568353381119,29014.188969874638,29029.684568269793,15.495598395154957,12.833403102918732,0.05340696722987501,0.04419217205800208,447587.66819870076,448015.5152481614,427.84704946062993,25594.918284453295,0.09558955258586185,12.435996071915893,1.1060999999997365
870.9999999999817,4.065919763936059,4.06854672717067,0.0026269632346105354,0.0019320700892876829,0.06460932303463544,0.04742568353381119,29001.11282059828,29016.55231597251,15.439495374230319,12.833403102918732,0.053237596328594296,0.04419217205800208,701781.1144075391,703016.4379889762,1235.3235814371146,25594.918284453295,0.1760269058365877,12.435996071915893,1.3174999999961305
871.9999999999816,4.0785666623683765,4.080288829966432,0.0017221675980554352,0.0019320700892876829,0.04222482407717697,0.04742568353381119,28992.414657647663,29007.86901091128,15.454353263616213,12.833403102918732,0.053304815918599736,0.04419217205800208,855341.6564620683,856004.4673679133,662.8109058450209,25594.918284453295,0.07749077819810526,12.435996071915893,0.9407900000069379
872.9999999999816,4.057006794052197,4.0598124424371544,0.0028056483849576708,0.0019320700892876829,0.06915562451290225,0.04742568353381119,28987.36264220495,29002.872617447185,15.509975242235669,12.833403102918732,0.053505989605461705,0.04419217205800208,930852.5326637926,930223.7126734306,-628.8199903620407,25594.918284453295,-0.06755312665504229,12.435996071915893,1.5533999999887174
873.9999999999816,4.042911278826772,4.046477063722409,0.003565784895637414,0.0019320700892876829,0.08819844537058906,0.04742568353381119,28981.40065857442,28996.991293997475,15.590635423053754,12.833403102918732,0.053795313783225024,0.04419217205800208,1.0227092782487125e6,1.0203979271564317e6,-2311.35109228082,25594.918284453295,-0.22600274989572577,12.435996071915893,2.0000999999917735
874.9999999999815,4.046664339802751,4.049732614233171,0.003068274430419571,0.0019320700892876829,0.07582231123644739,0.04742568353381119,28969.800139251856,28985.51445631033,15.71431705847499,12.833403102918732,0.05424378830002108,0.04419217205800208,1.2224136981094442e6,1.2176765425427086e6,-4737.155566735659,25594.918284453295,-0.38752474502388434,12.435996071915893,1.8431000000029092
875.9999999999815,4.065146073833088,4.066944423717544,0.001798349884456485,0.0019320700892876829,0.04423825987538976,0.04742568353381119,28960.083161014845,28975.949570880017,15.86640986517159,12.833403102918732,0.05478716955664842,0.04419217205800208,1.3758104230304698e6,1.3682180650421008e6,-7592.357988368953,25594.918284453295,-0.5518462326841092,12.435996071915893,1.2383000000112074
876.9999999999815,4.043330287488924,4.046460226248291,0.003129938759366624,0.0019320700892876829,0.0774099204571894,0.04742568353381119,28957.3958949739,28973.390290326755,15.994395352856372,12.833403102918732,0.05523423242499683,0.04419217205800208,1.385703083153305e6,1.3758662395065946e6,-9836.843646710506,25594.918284453295,-0.7098810536183401,12.435996071915893,1.908599999987579
877.9999999999814,4.041543401150954,4.044767691457667,0.003224290306713229,0.0019320700892876829,0.07977868815648528,0.04742568353381119,28952.97229285332,28969.107954056737,16.13566120341784,12.833403102918732,0.05573058627697692,0.04419217205800208,1.4330276602307942e6,1.420769929843492e6,-12257.730387302116,25594.918284453295,-0.8553729092240944,12.435996071915893,1.9526999999991779
