Time (s),Voltage (P2D) (V),Voltage (sP2D) (V),Voltage Error (V),average Voltage Error (V),Voltage Error Percentage (%),average Voltage Error Percentage (%),Concentration (P2D) (mol/m³),Concentration (sP2D) (mol/m³),Concentration Error (mol/m³),average Concentration Error (mol/m³),Concentration Error Percentage (%),average Concentration Error Percentage (%),Stress (P2D) (Pa),Stress (sP2D) (Pa),Stress Error (Pa),average Stress Error (Pa),Stress Error Percentage (%),average Stress Error Percentage (%),Current (A)
32.0,4.144982310774689,4.146024602054318,0.0010422912796288486,0.002684099368845545,0.025145855916428417,0.06590568279918213,29775.975459925103,29778.007761509565,2.0323015844624024,5.68281815330454,0.00682530648642439,0.01936401468212504,909201.6280761901,890543.966284319,-18657.661791871185,23089.41289734932,-2.052092870901425,2.3697974633638563,0.40082
33.0,4.229913587158551,4.227011861810414,-0.002901725348136708,0.002684099368845545,-0.06860010939575588,0.06590568279918213,29780.85703088851,29782.82701969128,1.9699888027716952,5.68281815330454,0.006614950002038006,0.01936401468212504,796575.4488889792,779154.6235404498,-17420.825348529383,23089.41289734932,-2.186964884848889,2.3697974633638563,-1.6765
34.0,4.268629287221082,4.263438399057732,-0.005190888163350671,0.002684099368845545,-0.12160550411089899,0.06590568279918213,29794.012955256512,29795.892587505034,1.879632248521375,5.68281815330454,0.006308758243960401,0.01936401468212504,528181.3674730603,512568.58642072225,-15612.781052338018,23089.41289734932,-2.955950742267398,2.3697974633638563,-3.0094
35.0,4.271557386377207,4.267047076786111,-0.004510309591096551,0.002684099368845545,-0.1055893479385474,0.06590568279918213,29824.40008858166,29826.077917877843,1.6778292961826082,5.68281815330454,0.005625693362479298,0.01936401468212504,-64632.28665872939,-76279.54684024009,11647.260181510697,23089.41289734932,-18.020807840221433,2.3697974633638563,-2.9658
36.0,4.272312158694625,4.26850150562281,-0.00381065307181494,0.002684099368845545,-0.08919416302621619,0.06590568279918213,29850.835017608446,29852.140350870206,1.3053332617600972,5.68281815330454,0.004372853426010045,0.01936401468212504,-548984.5407259479,-553473.977122643,4489.436396695091,23089.41289734932,-0.8177710051285779,2.3697974633638563,-2.8139
37.0,4.2570114740132,4.254700436190627,-0.0023110378225723593,0.002684099368845545,-0.0542877987686907,0.06590568279918213,29868.231165614867,29869.047052167818,0.8158865529512696,5.68281815330454,0.002731619922275614,0.01936401468212504,-836379.2722562428,-831739.9467680025,-4639.325488240342,23089.41289734932,0.5546915905418307,2.3697974633638563,-2.1029
38.0,4.25040863651591,4.2486202895519005,-0.0017883469640098681,0.002684099368845545,-0.042074706621050645,0.06590568279918213,29877.49940145691,29877.89887238992,0.399470933010889,5.68281815330454,0.0013370293398496718,0.01936401468212504,-957846.2884506417,-945909.4336174263,-11936.854833215359,23089.41289734932,1.2462182061094316,2.3697974633638563,-1.7886
39.0,4.226605289848721,4.226052073668191,-0.0005532161805303915,0.002684099368845545,-0.013088900964068782,0.06590568279918213,29880.983341513453,29881.109738315394,0.126396801941155,5.68281815330454,0.00042300081124021355,0.01936401468212504,-968085.5076418086,-951907.8791220079,-16177.628519800724,23089.41289734932,1.6710950006067482,2.3697974633638563,-1.0515
40.0,4.19721162495877,4.1978114172284196,0.0005997922696492353,0.002684099368845545,0.014290255608808552,0.06590568279918213,29880.068077472588,29880.056424639504,-0.01165283308364451,5.68281815330454,-3.8998683180477435e-5,0.01936401468212504,-898629.6588179579,-880917.3006452561,-17712.358172701788,23089.41289734932,1.9710409064397365,2.3697974633638563,-0.33154
41.0,4.181923931085034,4.182835392593674,0.0009114615086396327,0.002684099368845545,0.02179526752900899,0.06590568279918213,29872.846404384327,29872.822549457716,-0.02385492661051103,5.68281815330454,-7.985488321933035e-5,0.01936401468212504,-714316.8535798767,-697463.4176016003,-16853.435978276422,23089.41289734932,2.3593781798390436,2.3697974633638563,-0.00027238
