Time, Current
1044,0.015196
1045,0.015196
1046,0.015196
1047,0.015196
1048,0.015196
1049,0.015196
1050,0.015196
1051,0.015196
1052,0.015196
1053,0.04402
1054,0.318125
1055,0.78235
1056,1.2311
1057,1.6809
1058,1.99965
1059,1.20575
1060,1.3084
1061,1.66295
1062,1.2675
1063,1.1507
1064,1.0087
1065,1.0433
1066,1.1803
1067,0.5944
1068,0.9179
1069,0.83165
1070,0.7384
1071,-0.007249
1072,-0.15526
1073,-0.153245
1074,0.29181
1075,-0.29237
1076,-1.0227
1077,-1.0731
1078,-0.421175
1079,-0.34762
1080,-1.1915
1081,-1.19435
1082,-0.87835
1083,-0.28495
1084,-0.061485
1085,-0.08516
1086,-0.054025
1087,-0.0262135
1088,-0.0245255
1089,0.059095
1090,0.159745
1091,0.16313
1092,-0.00077675
1093,0.059095
1094,-0.06612
1095,-0.13821
1096,-0.2673
1097,-0.054665
1098,-0.10885
1099,-0.0505
1100,0.0049249
1101,0.0154815
1102,0.024999
1103,0.06717
1104,0.2381
1105,0.728
1106,1.09805
1107,1.3457
1108,0.7559
1109,0.419975
1110,1.0356
1111,1.55125
1112,1.5876
1113,1.0004
1114,0.381445
1115,0.302645
1116,0.30418
1117,0.472915
1118,0.91035
1119,0.6757
1120,0.96575
1121,0.90515
1122,0.7385
1123,0.169555
1124,0.168685
1125,0.456175
1126,0.65595
1127,0.66715
1128,0.47654
1129,0.68405
1130,0.488905
1131,0.5969
1132,0.394705
1133,0.29181
1134,0.29181
1135,0.1876
1136,0.186665
1137,0.28918
1138,-0.0091355
1139,0.18297
1140,-0.079215
1141,-0.146865
1142,-0.40997
1143,-0.5225
1144,-1.0283
1145,-0.6737
1146,-1.10785
1147,-0.54455
1148,-0.6867
1149,-0.9909
1150,-0.7231
1151,-0.454375
1152,-0.18501
1153,0.0091075
1154,0.015196
1155,0.015196
1156,0.015196
1157,0.015196
1158,0.015196
1159,0.015196
1160,0.015196
1161,0.015196
1162,0.015196
1163,0.015196
1164,0.015196
1165,0.015196
1166,0.015196
1167,0.015196
1168,0.015196
1169,0.102
1170,0.5243
1171,0.97265
1172,1.4218
1173,1.87215
1174,2.32415
1175,2.11265
1176,1.8405
1177,0.6913
1178,-0.13516
1179,-0.132665
1180,-1.2544
1181,-1.4745
1182,-1.20915
1183,-0.9423
1184,-0.6743
1185,-0.405435
1186,-0.135995
1187,0.0153035
1188,0.015196
1189,0.015196
1190,0.015196
1191,0.015196
1192,0.015196
1193,0.015196
1194,0.015196
1195,0.015196
1196,0.015196
1197,0.016152
1198,0.06517
1199,0.229525
1200,0.63635
1201,1.12225
1202,1.0356
1203,0.55915
1204,0.182955
1205,-0.040387
1206,0.228385
1207,0.282545
1208,0.134625
1209,0.60795
1210,1.00175
1211,1.1035
1212,1.27755
1213,1.0071
1214,1.2276
1215,0.62935
1216,0.47523
1217,0.22734
1218,-0.0119335
1219,-0.0119455
1220,0.4683
1221,0.47523
1222,0.39685
1223,0.14473
1224,0.059765
1225,0.058975
1226,0.223855
1227,0.140835
1228,-0.5634
1229,-0.16964
1230,-0.0116235
1231,0.49839
1232,0.35488
1233,0.358645
1234,-0.11673
1235,-0.84725
1236,-0.75575
1237,-0.8415
1238,-0.8303
1239,-0.407905
1240,-0.314235
1241,-0.22031
1242,-0.094735
1243,-0.051715
1244,0.0108
1245,0.015196
1246,0.015196
1247,0.015196
1248,0.015196
1249,0.015196
1250,0.015196
1251,0.015196
1252,0.035368
1253,0.0239675
1254,0.0239675
1255,0.0239675
1256,0.0239675
1257,0.05661
1258,0.15928
1259,0.18063
1260,0.22796
1261,0.347655
1262,0.5462
1263,0.7879
1264,0.30436
1265,-0.188695
1266,-0.16856
1267,-0.127945
1268,0.466695
1269,0.94165
1270,1.5708
1271,1.9465
1272,1.9415
1273,1.37715
1274,0.8807
1275,0.5679
1276,0.9316
1277,0.7824
1278,0.7101
1279,0.63085
1280,0.259815
1281,-0.139995
1282,-0.1376
1283,0.247545
1284,0.247545
1285,0.247545
1286,0.247545
1287,0.247545
1288,0.70695
1289,0.34668
1290,0.63085
1291,0.450125
1292,0.55065
1293,0.65595
1294,0.468355
1295,0.372855
1296,0.57485
1297,0.48065
1298,1.10425
1299,1.13935
1300,0.8447
1301,1.08455
1302,0.43118
1303,0.20796
1304,-0.53675
1305,-2.10975
1306,-1.84925
1307,-1.58655
1308,-1.3219
1309,-1.05565
1310,-0.78815
1311,-0.5196
1312,-0.250355
1313,-0.0140075
1314,0.015196
1315,0.015196
1316,0.015196
1317,0.015196
1318,0.015196
1319,0.015196
1320,0.015196
1321,0.015196
1322,0.015196
1323,0.015196
1324,0.015196
1325,0.015196
1326,0.015196
1327,0.015196
1328,0.015196
1329,0.015196
1330,0.015196
1331,0.015196
1332,0.015196
1333,0.015196
1334,0.015196
1335,0.015196
1336,0.015196
1337,0.015196
1338,0.059885
1339,0.44282
1340,0.89105
1341,1.34005
1342,0.9782
1343,1.17875
1344,1.20575
1345,1.19205
1346,1.06645
1347,0.8176
1348,1.0153
1349,0.72315
1350,0.398785
1351,0.489155
1352,-0.070865
1353,-0.06986
1354,-0.12543
1355,-0.177775
1356,-0.1195
1357,-0.064385
1358,-0.416605
1359,-0.345965
1360,-0.32676
1361,-0.307405
1362,-0.479095
1363,-0.90335
1364,-0.6839
1365,-0.4359
1366,-0.2379
1367,-0.06036
1368,0.015196
1369,0.015196
