time,current
148,0.9462
149,1.29995
150,0.90745
151,0.66435
152,0.67125
153,1.0285
154,0.339395
155,0.339395
156,1.0478
157,1.8884
158,0.92295
159,1.50255
160,0.67545
161,1.5503
162,0.7017
163,0.70705
164,0.7124
165,-0.25038
166,-0.64755
167,0.202265
168,0.105925
169,-0.056005
170,0.5677
171,-0.313535
172,0.7429
173,0.005662
174,0.27932
175,0.09433
176,0.5509
177,0.55395
178,0.187095
179,0.09363
180,0.2742
181,0.273185
182,-0.43457
183,-0.124955
184,0.6994
185,-1.2051
186,2.5049
187,1.25135
188,1.5578
189,1.31585
190,0.483545
191,1.63765
192,0.89355
193,1.499
194,0.82705
195,0.93605
196,1.0489
197,0.44739
198,0.6519
199,-0.039488
200,0.74885
201,1.06295
202,0.0446605
203,0.55265
204,0.65705
205,1.5963
206,0.260685
207,0.67605
208,0.67955
209,0.68305
210,0.8983
211,0.9067
212,1.2379
213,0.4975
214,0.9301
215,-1.3453
216,-0.033806
217,0.77515
218,0.67605
219,0.05223
220,1.09145
221,0.367695
222,0.157315
223,0.78085
224,-0.24876
225,1.08425
226,0.3639
227,0.5714
228,0.25959
229,0.6743
230,-0.177475
231,0.562
232,0.9798
233,0.5714
234,0.78275
235,0.9999
236,0.7982
237,-0.46532
238,0.6778
239,-0.463125
240,1.07715
241,-0.106815
242,1.07715
243,0.256315
244,-0.036295
245,0.5573
246,0.35269
247,0.7638
248,0.562
249,0.3564
250,-0.249435
251,0.44739
252,0.8571
253,0.35024
254,-0.10942
255,0.64685
256,0.344155
257,0.444645
258,0.5465
259,0.140925
260,0.849
261,0.75445
262,-0.039097
263,0.444645
264,0.5465
265,-0.0406485
266,1.3559
267,0.45153
268,-0.039097
269,0.95555
270,0.0424535
271,0.140925
272,0.23934
273,0.338155
274,0.74145
275,0.441915
276,0.441915
277,0.34055
278,0.847
279,0.24246
280,0.44328
281,0.64685
282,0.75255
283,0.347795
284,1.58355
285,1.09145
286,0.9999
287,0.7982
288,1.34025
289,0.71165
290,1.47745
291,0.7318
292,0.8457
293,1.4076
294,0.5327
295,1.0926
296,0.8785
297,0.88475
298,3.2009
299,1.05795
300,3.9568
301,-1.46895
302,0.13036
303,0.5966
304,0.36103
305,1.18335
306,0.9578
307,0.488085
308,-0.314115
309,0.121905
310,0.233845
311,0.578
312,0.346035
313,0.6906
314,0.57635
315,0.80865
316,1.63315
317,1.1859
318,1.79765
319,2.0755
320,1.74875
321,2.65835
322,2.0878
323,1.86935
324,-0.47348
325,-1.4261
326,0.16897
327,1.6502
328,2.1813
329,1.2029
330,2.1138
331,1.24195
332,1.2525
333,0.7397
334,1.26315
335,0.74775
336,-0.20309
337,0.73165
338,0.213435
339,0.208105
340,-0.47421
341,-0.47529
342,-1.40625
343,-0.9707
344,-1.03875
345,-2.10355
346,-0.5455
347,0.82965
348,-0.096795
349,0.28335
350,0.8197
351,0.39242
352,1.587
353,0.8437
354,1.51625
355,0.5327
356,0.9803
357,-0.0119445
358,0.41978
359,0.41838
360,-0.319715
361,-0.170365
362,0.178795
363,0.068355
364,0.81575
365,0.9301
366,0.07089
367,0.8217
368,1.26415
369,1.0619
370,0.96265
371,0.7486
372,0.97585
373,0.98475
374,0.205215
375,1.43915
376,0.55015
377,0.55015
378,1.23335
379,1.0186
380,0.79675
381,0.91645
382,-0.07916
383,0.91005
384,0.224435
385,-0.081945
386,0.78305
387,0.78695
388,-0.00428315
389,0.213005
390,1.23075
391,0.330185
392,0.32759
393,1.00725
394,0.90155
395,0.56315
396,0.56315
397,1.4858
398,0.344695
399,0.68875
400,0.343355
401,0.8027
402,0.9229
403,0.6961
404,0.00267145
405,1.037
406,1.1633
407,0.8227
408,1.4177
409,0.248395
410,0.5983
411,0.362415
412,0.47719
413,0.47565
414,1.4177
415,0.841
416,1.08395
417,-0.476325
418,-0.07332
419,-0.076285
420,0.00031308
421,0.6815
422,1.03005
423,-0.158525
424,1.4858
425,-0.237525
426,0.6779
427,-0.55235
428,0.207425
429,-0.088515
430,0.6426
431,0.421185
432,-0.0145645
433,0.082235
434,0.7374
435,0.6306
436,0.5218
437,0.08134
438,0.29639
439,-0.17063
440,0.82765
441,0.0726
442,0.7171
443,-0.0234985
444,0.71165
445,-0.098965
446,-2.0396
447,0.44328
448,-0.250015
449,0.132275
450,0.72865
451,0.132275
