Time (s),Voltage (V),Concentration (mol/m³),Stress (Pa)
261.0,4.101488074386288,29596.510362308203,1.7932020403879597e6
262.0,4.101990402028698,29596.211569576193,1.77140117748901e6
263.0,4.102121844488367,29595.94040453246,1.749262022332192e6
264.0,4.101605383958694,29595.58301153422,1.7290747544972252e6
265.0,4.100206512709186,29594.971887000684,1.7140441733574632e6
266.0,4.097766448124492,29593.907280346342,1.7078418466989088e6
267.0,4.094223592631437,29592.18264648524,1.7141039313335377e6
268.0,4.089623029076996,29589.61057788833,1.735944064111387e6
269.0,4.084115815081137,29586.04645195222,1.7755317406634868e6
270.0,4.077950531681973,29581.408059220907,1.8337646489948991e6
271.0,4.071459125701301,29575.69032269697,1.9100463924820013e6
272.0,4.065038019618017,29568.97464220061,2.0021730734842014e6
273.0,4.059124399935362,29561.432394678734,2.1063328310662257e6
274.0,4.054167116700515,29553.321880435997,2.217227466695284e6
275.0,4.050592068466072,29544.9778277652,2.3283286768107265e6
276.0,4.048763261343973,29536.79274349854,2.432277654670157e6
277.0,4.04894262165222,29529.19008786988,2.521423167727839e6
278.0,4.051253526932387,29522.590450332442,2.588470444572958e6
279.0,4.055654220024463,29517.373419291263,2.6271856267685285e6
280.0,4.061927229536887,29513.83933585538,2.633075179379386e6
281.0,4.069689359149239,29512.17621532553,2.6039441658471916e6
282.0,4.07842381268701,29512.437487880805,2.540237844922308e6
283.0,4.087532128043429,29514.535614113112,2.4450909254803276e6
284.0,4.096399705240744,29518.25500230588,2.3240469698770284e6
285.0,4.104465798479717,29523.28512826727,2.1844610028589694e6
286.0,4.111287669327558,29529.27161715175,2.0346520733851597e6
287.0,4.116589455172724,29535.87960496897,1.8829189884766806e6
288.0,4.1202889753700465,29542.86050355198,1.736561727154949e6
289.0,4.122499424848668,29550.110977984055,1.601056372716268e6
290.0,4.123506717429298,29557.71211331006,1.479511101675241e6
291.0,4.123726307815024,29565.937961312116,1.3724881507127404e6
292.0,4.123645334857325,29575.226525411847,1.2782180987665458e6
293.0,4.123756883458234,29586.11253049057,1.1931687024822554e6
294.0,4.12449335846402,29599.129112192564,1.112872541648955e6
295.0,4.12616587857245,29614.693381361045,1.0328759491086509e6
296.0,4.128916468593731,29632.996738426697,949653.5207716642
297.0,4.132689301563461,29653.922405336205,861343.392033885
298.0,4.137225932121913,29677.008957392827,768195.8950984005
299.0,4.142087231226702,29701.470114090567,672683.4013312715
300.0,4.146701409571119,29726.269366013275,579280.056883239
301.0,4.150433419174055,29750.235978185647,493973.4757187219
302.0,4.152667182939606,29772.200406616474,423602.2778479225
303.0,4.152889562904297,29791.12433315438,375119.1920906947
400.0,4.150764085522757,29806.20376403983,354863.9210394115
401.0,4.146183754714927,29816.931789640726,367903.2372715642
402.0,4.139295609067566,29823.11814724527,417469.6860240748
403.0,4.130494131247927,29824.871861896303,504517.21673123894
404.0,4.120385150811622,29822.558741243138,627414.6501670086
405.0,4.109726194451744,29816.746667003354,781809.4399011454
406.0,4.099352063272647,29808.149082153268,960702.912947751
407.0,4.090095591465181,29797.572477295045,1.1547734589034282e6
408.0,4.082712962696519,29785.869599549616,1.3529583282726682e6
409.0,4.077821096232405,29773.897539976635,1.5432637733751275e6
410.0,4.075851250254782,29762.479165073368,1.7137280142739e6
411.0,4.077019917414266,29752.36723343185,1.8534253374668688e6
412.0,4.081315174215435,29744.21181001135,1.9533870991240337e6
413.0,4.088496278995043,29738.53157949141,2.0073370173686605e6
414.0,4.098105117710074,29735.689710256993,2.0121730612192913e6
415.0,4.109490492951018,29735.875052513933,1.9681661389532522e6
416.0,4.121847857919522,29739.089104588587,1.8788863278432288e6
417.0,4.134279168182562,29745.139493536688,1.7508927611208558e6
418.0,4.1458723311828685,29753.643633371386,1.5932117293353253e6
419.0,4.155793606749019,29764.046962131622,1.4166271648548162e6
420.0,4.1633800882223095,29775.658312105475,1.2328299735363333e6
421.0,4.16821588941518,29787.70296705652,1.0534852182395738e6
500.0,4.170172070254448,29799.390870111856,889289.5740273265
501.0,4.1694011940274684,29809.991522978264,749121.2969207593
600.0,4.1662901320478385,29818.9042260757,639389.3965426695
600.9999999999999,4.161383173604164,29825.7142367518,563635.2698417952
601.9999999999999,4.15529313119562,29830.22824710699,522387.5632239566
602.9999999999999,4.148623440325368,29832.486479588573,513228.2771095834
603.9999999999998,4.1419150376791425,29832.74950711043,531078.6184660764
604.9999999999998,4.135615547367432,29831.46198737034,568691.8422503314
605.9999999999997,4.13006840995722,29829.196127267292,617357.3067836849
606.9999999999997,4.125514578906268,29826.57698451063,667853.5850403314
607.9999999999997,4.122096175718405,29824.190656925563,711703.0845866029
608.9999999999995,4.119851929910289,29822.49386853134,742458.4081910163
609.9999999999995,4.118717623830899,29821.741725525586,756754.6405936178
610.9999999999994,4.118528548151022,29821.947247121425,754909.2304971546
611.9999999999994,4.119028218769911,29822.885490353387,740845.5693871916
700.0,4.11989078247732,29824.15362494174,721137.849841154
701.0,4.120772469528517,29825.26393158557,703544.3332869301
701.9999999999999,4.121367011366303,29825.746870663286,695393.9937388822
702.9999999999999,4.121465540025188,29825.245124295783,702115.9289708651
703.9999999999999,4.121010883750019,29823.578040790286,726240.8758647976
704.9999999999998,4.120123487359726,29820.762327835004,767110.7580646698
705.9999999999998,4.119068264451741,29817.001885206362,821091.1501233161
706.9999999999997,4.118184738742611,29812.655538429255,882166.4301318958
707.9999999999997,4.117790709471224,29808.189521489716,942828.8151553066
708.9999999999997,4.118069717937571,29804.128881316243,995020.5922061205
709.9999999999995,4.118982973300391,29800.991684780387,1.0313119103829243e6
710.9999999999995,4.1202500304895455,29799.204979455106,1.0463016005562556e6
711.9999999999995,4.121402034261405,29799.01662638794,1.0379342743226916e6
712.9999999999994,4.1218823881698,29800.4177902765,1.0084480465048144e6
713.9999999999994,4.121196559530408,29803.07745260535,964948.28741862
714.9999999999993,4.119067437506967,29806.363348853785,918604.0443484919
715.9999999999993,4.115535136718213,29809.45039334512,882498.5206448268
800.0,4.1109653104205535,29811.485481396387,868791.7628297325
800.9999999999999,4.10599778434514,29811.77393262303,885864.9350067826
801.9999999999999,4.101420380632436,29809.969870020483,935746.3611136129
802.9999999999998,4.097990630516837,29806.15882335506,1.0133747678382248e6
803.9999999999998,4.096287797480885,29800.820669098837,1.107859698823421e6
804.9999999999998,4.096635242672851,29794.704994668915,1.2050325774848e6
805.9999999999997,4.099068627870344,29788.65977959433,1.2904712455672869e6
806.9999999999997,4.1033616418667425,29783.43663338395,1.3525724597955276e6
807.9999999999997,4.109122265279441,29779.561716018332,1.3844049164847492e6
808.9999999999995,4.115884001634816,29777.290712686976,1.3840407856640045e6
809.9999999999995,4.12316882540896,29776.630803373624,1.3537698939206589e6
810.9999999999994,4.130532520638501,29777.40079141538,1.298795160829727e6
811.9999999999994,4.137610013657749,29779.31331460045,1.2257206533078777e6
812.9999999999994,4.144129860335088,29782.063122275507,1.1411538731344764e6
813.9999999999993,4.149914873322171,29785.39153829522,1.0507905326575139e6
814.9999999999993,4.1548835908972155,29789.128421690526,958928.6256252233
815.9999999999992,4.159060131771782,29793.221129911486,868201.7870122504
816.9999999999992,4.162538676123608,29797.75918197033,779354.9466008531
817.9999999999992,4.165417011198151,29802.899151298603,691974.1289726808
818.9999999999991,4.167758493309923,29808.78487064928,605292.8090195087
819.9999999999991,4.169577125898284,29815.463937667468,519051.8642276147
820.9999999999991,4.170823707524482,29822.806339636787,434305.6078392972
821.999999999999,4.171422692711625,29830.42092690015,354265.5320640974
900.0,4.1713516245275635,29837.76820653784,283276.4246609282
901.0,4.170681152496632,29844.275890627607,225748.82704093694
901.9999999999999,4.169580039003448,29849.459439051938,185007.56724655582
902.9999999999999,4.168275438070919,29853.03713142241,162258.99568134858
903.9999999999998,4.166990927294037,29855.03696400193,155719.6645030243
904.9999999999998,4.16589597032628,29855.696339260285,161822.63353712938
905.9999999999998,4.165114391781134,29855.363538764585,176354.88457339787
906.9999999999997,4.164586857915673,29854.445980193723,194786.46311864437
907.9999999999997,4.164156879754695,29853.327822253766,213065.91327175678
908.9999999999997,4.1635879739822945,29852.262986066322,228896.58080502943
909.9999999999995,4.162585549433642,29851.40756272585,241199.62171312762
910.9999999999995,4.1606682160597,29850.860868103446,249440.48731804584
911.9999999999994,4.157653561390805,29850.533669131437,255834.84419397422
912.9999999999994,4.153556370449232,29850.154377190076,265349.8692185617
913.9999999999994,4.148699140162691,29849.42167108177,282819.7071240315
1000.0,4.143653272271185,29848.051938626617,312152.2508653882
1001.0,4.139489571001496,29845.795017985325,356174.23179041134
1002.0,4.137052911020764,29842.66248613948,413180.181994877
1002.9999999999999,4.137022189965508,29838.97550548264,476159.5893028619
1003.9999999999999,4.1396078609023395,29835.49100350022,531932.7950691497
1004.9999999999998,4.144628656700472,29832.970534342145,568199.752534648
1005.9999999999998,4.1512291599340045,29832.11269381227,574691.1713074811
1006.9999999999998,4.158418699146919,29833.420358382504,544808.2960300518
1007.9999999999997,4.164977058792799,29837.13195355801,476834.26292771846
1008.9999999999997,4.169733242985574,29842.36145606612,386393.05388655973
1100.0,4.171629325729649,29848.105969657627,290605.20205450605
1101.0,4.169967716777875,29853.260778662756,207795.56911219208
1102.0,4.16460362201804,29856.626524120824,157713.2783229032
1103.0,4.156146123017509,29857.047082094545,158756.0201516578
1104.0,4.14564278511565,29854.503833974974,210811.11369724927
1104.9999999999998,4.134388167756934,29849.21572129043,309169.63111381663
1105.9999999999998,4.123853661930512,29841.664720974957,444265.68313729
1106.9999999999998,4.114836808674245,29832.629909817875,601152.8940478646
1107.9999999999998,4.107487596054446,29823.013216601605,763162.3720836573
1108.9999999999998,4.10210794931477,29813.279045931595,921497.5074563769
1109.9999999999995,4.09908605539521,29803.826650651212,1.068992309567491e6
1110.9999999999995,4.098461086699336,29795.12035689645,1.1974356309632875e6
1111.9999999999995,4.100164782379563,29787.622873041728,1.2989431006297846e6
1112.9999999999995,4.103941758337369,29781.694316942798,1.3679045941403157e6
1113.9999999999995,4.108563360749803,29777.5715503333,1.401247678691183e6
1114.9999999999995,4.112364182974936,29775.18306374338,1.401946177847215e6
1115.9999999999993,4.114069272739002,29773.976168840763,1.3820991994585872e6
1116.9999999999993,4.113800032535112,29773.078171205434,1.359315689447285e6
1117.9999999999993,4.112109726311607,29771.764657973377,1.347337620036953e6
1118.9999999999993,4.110295219092466,29769.70488913141,1.3515902066232972e6
1119.9999999999993,4.109705349741821,29766.97969361007,1.3693598959767127e6
1120.999999999999,4.111198616006104,29764.070346335706,1.3904289569010832e6
1121.999999999999,4.113850516226639,29761.632910401746,1.4018352263246423e6
1122.999999999999,4.1166312750321215,29760.029880430026,1.3970960192437465e6
