Time [s],Current [A],Voltage_P2D [V],Voltage_sP2D [V],Voltage_Error [V],Concentration_P2D [c/c_max],Concentration_sP2D [c/c_max],Concentration_Error [c/c_max],Overpotential_Neg_P2D [V],Overpotential_Pos_P2D [V],Overpotential_Neg_sP2D [V],Overpotential_Pos_sP2D [V],Overpotential_Error [V],Stress_Neg_P2D [σ/E],Stress_Pos_P2D [σ/E],Stress_Neg_sP2D [σ/E],Stress_Pos_sP2D [σ/E],Stress_Error [σ/E]
798.9999999999866,0.3108886767594851,4.121180679535469,4.121637406136738,0.00045672660126960807,0.8828426204647435,0.8828366718949783,5.948569765212852e-6,0.01064698687071952,-0.0008696736336979135,0.010658654513987419,-0.000886649177031682,1.1667643267898944e-5,6.433899612517793e-5,9.229000130208969e-5,6.429689187578713e-5,9.407217910910315e-5,4.2104249390801144e-8
799.9999999999866,0.3220291931372788,4.120620838734272,4.121163491274291,0.0005426525400187288,0.8828787346915017,0.8828727807996064,5.953891895282837e-6,0.011022417795491202,-0.0009028685949627496,0.011033599635345212,-0.0009178269854295454,1.1181839854009987e-5,6.0985891603240775e-5,9.260668405883235e-5,6.097412259312403e-5,9.449357953697922e-5,1.1769010116745348e-8
800.9999999999865,0.13308091084217902,4.128851715309661,4.1291124303941285,0.00026071508446712244,0.8829580415913122,0.8829520930074397,5.948583872483759e-6,0.004609939660483105,-0.0003554332547654146,0.004615502710219283,-0.00037334214341067134,5.5630497361779455e-6,5.59801569896996e-5,9.121673440539493e-5,5.599649961287221e-5,9.255419310848855e-5,1.6342623172612065e-8
801.9999999999865,0.6757017056794051,4.1063700310915365,4.107733349130324,0.001363318038787753,0.8830216850807991,0.8830157511141298,5.933966669369184e-6,0.022554031544345435,-0.001947719406301085,0.022572103009576155,-0.0019391749292856995,1.807146523071998e-5,5.205972324770938e-5,8.939122916235902e-5,5.206874226035045e-5,9.002036103051e-5,9.019012641070295e-9
802.9999999999865,0.8875520171773539,4.09806954061546,4.099812833589866,0.0017432929744058967,0.8829774975150605,0.8829715620414738,5.935473586737849e-6,0.02900497532557117,-0.002566675193208142,0.029027531040135255,-0.0025501632962131567,2.2555714564085477e-5,5.335926068194827e-5,8.913268933728564e-5,5.334596649142957e-5,8.962238738321724e-5,1.329419051870163e-8
803.9999999999864,0.19632196924347942,4.125976771261754,4.126277018589353,0.0003002473275994788,0.8827955894679697,0.8827896195256499,5.9699423197168144e-6,0.006766013484010922,-0.0005384166127205596,0.0067742218846174405,-0.000556786264192597,8.208400606518444e-6,6.09747286915378e-5,9.168542830893926e-5,6.095042134278695e-5,9.298616505330229e-5,2.4307348750845473e-8
804.9999999999864,0.2681004905343495,4.1228097599439835,4.1232756149677225,0.0004658550237390813,0.8827938809425502,0.8827879007502771,5.980192273047358e-6,0.009201846323445827,-0.0007476546876590357,0.009211515297349092,-0.0007630508239338619,9.66897390326446e-6,5.9722754681432976e-5,9.213265177267175e-5,5.9710847776494015e-5,9.361493272975997e-5,1.1906904938960901e-8
805.9999999999864,0.4877749593611837,4.113795625558136,4.114777651762894,0.0009820262047579575,0.882898697618905,0.8828927298067044,5.9678122006356915e-6,0.016523191478563966,-0.0013958069579623473,0.016537270259350596,-0.0013970606004896516,1.4078780786630496e-5,5.3604159055517425e-5,9.02346803251334e-5,5.360781955175666e-5,9.110644226924983e-5,3.6604962392380175e-9
806.9999999999862,0.18747560330365734,4.126537797848244,4.126936882085149,0.000399084236904379,0.882877057461019,0.8828710885094468,5.968951572121739e-6,0.006467966173687694,-0.0005188881317982037,0.006474676265890269,-0.0005317180029140247,6.710092202575485e-6,5.376083372408566e-5,8.967061872994578e-5,5.375597188060082e-5,9.030844314358616e-5,4.861843484838609e-9
807.9999999999862,-0.09647818836664923,4.1388620115464105,4.138729143559432,0.00013286798697809132,0.8828838132409519,0.8828778501177277,5.963123224206335e-6,-0.003276118176572827,0.000310562893170964,-0.003277071816900942,0.00028684238824845134,9.536403281153356e-7,5.254372661910361e-5,8.890303060135284e-5,5.251941619992857e-5,8.931398877620874e-5,2.4310419175043298e-8
808.9999999999861,0.8698474862504856,4.098989289984452,4.100801708129481,0.0018124181450289711,0.8830072655589288,0.8830013253052371,5.940253691716357e-6,0.028497736199485188,-0.002519881624465727,0.028519462333595133,-0.0024990952105884002,2.172613410994506e-5,4.59891992053531e-5,8.608417537585113e-5,4.5947824742984226e-5,8.571416756982694e-5,4.1374462368876964e-8
809.9999999999861,0.5637986647685923,4.111143240276177,4.112301779640356,0.0011585393641793118,0.882924474817745,0.8829185223103239,5.9525074211919105e-6,0.019003929047495396,-0.0016235669740928375,0.019019679530445695,-0.0016178489036181422,1.5750482950299682e-5,4.9408355648709266e-5,8.612205088213054e-5,4.9340755707329124e-5,8.589379021846115e-5,6.759994138014213e-8
810.9999999999861,0.5834863464820637,4.10998195640021,4.11106212673699,0.0010801703367802062,0.8827500788154761,0.8827440958790425,5.982936433612807e-6,0.019616810380479945,-0.0016735119797294318,0.019633941185300145,-0.0016736517622967476,1.7130804820200685e-5,5.672643882860279e-5,8.85594152219194e-5,5.66409692474525e-5,8.926071320878894e-5,8.546958115028731e-8
811.999999999986,0.3520025771055656,4.11942725662898,4.120058335947263,0.0006310793182828789,0.8827117208454758,0.8827057201059354,6.000739540379385e-6,0.012025632095851824,-0.00099413387211228,0.012037423683467264,-0.0010052234121716078,1.1791587615439525e-5,5.724426779079173e-5,8.958744908964612e-5,5.71764161028039e-5,9.075181197173232e-5,6.785168798782633e-8
812.999999999986,0.44114357794312625,4.1156355020074455,4.116459863184304,0.0008243611768588011,0.882711903150472,0.8827058898620063,6.013288465722688e-6,0.014985552991605122,-0.0012556824012923023,0.0149992351301578,-0.0012619253396445225,1.3682138552678982e-5,5.6038590499305406e-5,8.967497062931472e-5,5.5997314473203716e-5,9.08845720937641e-5,4.127602610168969e-8
813.9999999999859,0.6536063377098545,4.106944775521811,4.108205800879103,0.0012610253572926666,0.8827238353772837,0.8827178194304556,6.015946828141772e-6,0.021839383392954825,-0.0018788712335465884,0.021857581781233457,-0.0018744942230283015,1.819838827863199e-5,5.439740808609107e-5,8.923355749069558e-5,5.436671918449041e-5,9.023921973011877e-5,3.0688901600659706e-8
814.9999999999859,0.30023259820881243,4.121460967852559,4.122010327192331,0.0005493593397725149,0.8826538429470843,0.882647811627345,6.031319739308039e-6,0.010284917713965256,-0.0008445155391627056,0.01029524815396614,-0.000855977133680558,1.0330440000884053e-5,5.6693752150131783e-5,8.997265932339263e-5,5.666565628541944e-5,9.112156937568853e-5,2.809586471234118e-8
815.9999999999859,0.0423592062344065,4.132464317550105,4.13252831733419,6.399978408477836e-5,0.8826386778279298,0.8826326405554509,6.03727247894259e-6,0.0014945605920641813,-9.040124480389051e-5,0.0014980973252173768,-0.00011226404214389946,3.5367331531954357e-6,5.62922155779416e-5,9.011115219077374e-5,5.626671897202215e-5,9.124363908009704e-5,2.5496605919452864e-8
816.9999999999858,0.75467799973925,4.102990920109581,4.104514012906562,0.0015230927969813735,0.8827461278503899,0.8827401068441681,6.021006221712533e-6,0.02498793708339705,-0.002178230078378474,0.025007786953732406,-0.0021660849616608703,1.9849870335354736e-5,5.024034079577091e-5,8.799057994778973e-5,5.0216140826640735e-5,8.843267403821742e-5,2.419996913017447e-8
817.9999999999858,0.16441818218468854,4.127480355612547,4.127837250232969,0.0003568946204222101,0.8826952265166929,0.8826891976459474,6.028870745411474e-6,0.0056785204225664404,-0.00045278135483670166,0.005684643045813686,-0.000465567469545777,6.122623247245378e-6,5.19366679514498e-5,8.782023815055452e-5,5.1900178449536006e-5,8.819130421054392e-5,3.6489501913793034e-8
818.9999999999858,0.5689486714739036,4.110391110310241,4.111500422906909,0.0011093125966681328,0.8826459210710103,0.882639885907617,6.0351633932587134e-6,0.01914563971686711,-0.0016335479629378759,0.019161985425160774,-0.0016313426307943346,1.6345708293664246e-5,5.336039337172125e-5,8.812557756325583e-5,5.330771857504013e-5,8.864234051409179e-5,5.267479668111697e-8
