Time (s),Voltage (P2D) (V),Voltage (sP2D) (V),Voltage Error (V),average Voltage Error (V),Voltage Error Percentage (%),average Voltage Error Percentage (%),Average Concentration (P2D) (c/c_max),Average Concentration (sP2D) (c/c_max),First Position Concentration (P2D) (c/c_max),First Position Concentration (sP2D) (c/c_max),Concentration Error (c/c_max),average Concentration Error (c/c_max),Concentration Error Percentage (%),average Concentration Error Percentage (%),Negative Stress (P2D) (σ/E),Negative Stress (sP2D) (σ/E),Negative Stress Error (σ/E),average Negative Stress Error (σ/E),Negative Stress Error Percentage (%),average Negative Stress Error Percentage (%),Positive Stress (P2D) (σ/E),Positive Stress (sP2D) (σ/E),Positive Stress Error (σ/E),average Positive Stress Error (σ/E),Positive Stress Error Percentage (%),average Positive Stress Error Percentage (%),Current (A)
20.0,4.172649315538082,4.1728793640377155,0.00023004849963381702,0.00827824680432259,0.005513247872932049,0.21228580352729162,0.9010737294341238,0.9010736549871593,0.9010869418726847,0.9010897679746431,-7.444696448200006e-8,0.0004782413234142644,-8.262028072747489e-6,0.05983579227568604,1.0601634056655298e-5,1.0689992276404253e-5,8.835821974895503e-8,0.00012526121357467443,0.8334396308792337,70.97571353421924,8.838528521969102e-6,9.541791017536726e-6,7.032624955676236e-7,5.011435910590469e-5,7.956782555145801,28.811528674190974,0.136764
21.0,4.109676177323208,4.112949690411375,0.003273513088166702,0.00827824680432259,0.07965379623410787,0.21228580352729162,0.9010638003229746,0.9010637235352779,0.9010776161800825,0.9010805123788203,-7.678769675667496e-8,0.0004782413234142644,-8.521893425210448e-6,0.05983579227568604,1.0795097954136614e-5,1.0883515950125869e-5,8.841799598925489e-8,0.00012526121357467443,0.8190569123587588,70.97571353421924,9.07467306554274e-6,9.774087499826175e-6,6.994144342834351e-7,5.011435910590469e-5,7.707323770584836,28.811528674190974,1.72035
22.0,4.032120845601527,4.041133053666825,0.009012208065297678,0.00827824680432259,0.22351036614214376,0.21228580352729162,0.9007166227526151,0.9007164491370839,0.9007485339387833,0.9007521590558617,-1.7361553117378747e-7,0.0004782413234142644,-1.9275266691894013e-5,0.05983579227568604,2.7099059871953155e-5,2.72289808809032e-5,1.299210089500459e-7,0.00012526121357467443,0.4794299490976471,70.97571353421924,1.5071410418929546e-5,1.7496181243475607e-5,2.424770824546061e-6,5.011435910590469e-5,16.088546175483167,28.811528674190974,4.95765
23.0,3.986449342406659,3.9991253082772698,0.012675965870610817,0.00827824680432259,0.3179763439050303,0.21228580352729162,0.8994948402774685,0.8994937236286703,0.899655595657115,0.8996711341715425,-1.1166487982050555e-6,0.0004782413234142644,-0.0001241417680462293,0.05983579227568604,9.052351972924875e-5,9.145701282365623e-5,9.334930944074815e-7,0.00012526121357467443,1.0312160830682588,70.97571353421924,3.792977418654606e-5,4.720533655339762e-5,9.275562366851561e-6,5.011435910590469e-5,24.454567858043468,28.811528674190974,7.4925
24.0,3.9314129358994885,3.9489054805606902,0.01749254466120176,0.00827824680432259,0.444942949174062,0.21228580352729162,0.8975528719785109,0.8975483982808573,0.898026478027779,0.8980927230663223,-4.473697653550879e-6,0.0004782413234142644,-0.0004984327712850311,0.05983579227568604,0.0001999447853568455,0.0002045902966165937,4.6455112597481945e-6,0.00012526121357467443,2.3233970575712974,70.97571353421924,7.905574572227239e-5,0.00010051526300401667,2.145951728174428e-5,5.011435910590469e-5,27.144791419883457,28.811528674190974,11.0367
25.0,3.890243675575771,3.910634902936082,0.020391227360310626,0.00827824680432259,0.5241632417098563,0.21228580352729162,0.8950167697655479,0.8950017164056832,0.8960903314608595,0.8963111989768096,-1.5053359864736215e-5,0.0004782413234142644,-0.0016819081354955486,0.05983579227568604,0.0003620275754558173,0.000379464964226624,1.74373887708067e-5,0.00012526121357467443,4.816591318728096,70.97571353421924,0.0001377559278762892,0.00017645361673498022,3.8697688858691035e-5,5.011435910590469e-5,28.091487208770605,28.811528674190974,13.6944
26.000000000000004,3.858813478998507,3.8804543250871957,0.021640846088688548,0.00827824680432259,0.560816069666707,0.21228580352729162,0.8919645157967082,0.8919255093993229,0.8939472141435421,0.8944814120793922,-3.900639738529943e-5,0.0004782413234142644,-0.004373088468710964,0.05983579227568604,0.0005776827122603048,0.0006237893453683093,4.610663310800447e-5,0.00012526121357467443,7.981307407937238,70.97571353421924,0.00021314239226115234,0.0002735887210105237,6.0446328749371364e-5,5.011435910590469e-5,28.359599471563406,28.811528674190974,15.47234999999996
27.000000000000004,4.008029771343048,4.007572575632759,-0.0004571957102887936,0.00827824680432259,-0.011406993869099736,0.21228580352729162,0.8888483031452689,0.8887691696035297,0.8918917347502441,0.8928924561214312,-7.913354173916254e-5,0.0004782413234142644,-0.00890292994419199,0.05983579227568604,0.0008105271225549125,0.00090298734651528,9.246022396036744e-5,0.00012526121357467443,11.407418874388542,70.97571353421924,0.00029753388052204053,0.0003810821714582219,8.354829093618136e-5,5.011435910590469e-5,28.08026124271663,28.811528674190974,3.944115000000009
28.000000000000004,3.9551846507334045,3.960808148298657,0.005623497565252489,0.00827824680432259,0.14218040526147702,0.21228580352729162,0.8886630812756284,0.8885755366288342,0.8917288600330016,0.8928582069808134,-8.754464679427976e-5,0.0004782413234142644,-0.009851275318944733,0.05983579227568604,0.0007871475189911803,0.0008869854646325337,9.983794564135339e-5,0.00012526121357467443,12.683511442595558,70.97571353421924,0.0003353284232254011,0.00042217660691261133,8.684818368721024e-5,5.011435910590469e-5,25.899439973459277,28.811528674190974,6.534000000000045
29.0,3.8008076745815895,3.830524774166712,0.029717099585122586,0.00827824680432259,0.7818627546944737,0.21228580352729162,0.8897861770478838,0.889715424810443,0.892295589104143,0.8933251082076419,-7.07522374407965e-5,0.0004782413234142644,-0.007951599976023113,0.05983579227568604,0.0006420588310065076,0.000721327806222844,7.926897521633646e-5,0.00012526121357467443,12.346061044292846,70.97571353421924,0.0003360050619358351,0.0004100194009859136,7.40143390500785e-5,5.011435910590469e-5,22.027745243972717,28.811528674190974,19.25145
