Time (s),Voltage (P2D) (V),Voltage (sP2D) (V),Voltage Error (V),average Voltage Error (V),Voltage Error Percentage (%),average Voltage Error Percentage (%),Average Concentration (P2D) (mol/m³),Average Concentration (sP2D) (mol/m³),First Position Concentration (P2D) (mol/m³),First Position Concentration (sP2D) (mol/m³),Concentration Error (mol/m³),average Concentration Error (mol/m³),Concentration Error Percentage (%),average Concentration Error Percentage (%),Negative Stress (P2D) (Pa),Negative Stress (sP2D) (Pa),Negative Stress Error (Pa),average Negative Stress Error (Pa),Negative Stress Error Percentage (%),average Negative Stress Error Percentage (%),Positive Stress (P2D) (Pa),Positive Stress (sP2D) (Pa),Positive Stress Error (Pa),average Positive Stress Error (Pa),Positive Stress Error Percentage (%),average Positive Stress Error Percentage (%),Current (A)
27.0,4.188866416590946,4.188191232115093,-0.0006751844758525749,0.002684099368845545,-0.016118548760073972,0.06590568279918213,29765.309222363667,29765.224654864214,29775.511540050884,29778.931698056276,-0.0845674994525325,0.4932244175006447,-0.0002841142983624512,0.001688253410308909,1.2888085333296922e6,1.3377686922080193e6,48960.158878327115,33331.45454141086,3.7988698563188774,2.8065960463293687,3.737479902414864e7,3.689091406221867e7,-483884.9619299695,3.241718321752391e6,-1.2946824452950805,17.117788423354423,-0.6912
28.0,4.1800147068486035,4.180112257373488,9.755052488458205e-5,0.002684099368845545,0.0023337364034809183,0.06590568279918213,29781.191534825277,29781.116791070413,29790.833240042313,29794.019008891915,-0.07474375486344798,0.4932244175006447,-0.0002509763747231025,0.001688253410308909,955974.9721582837,997204.1946012505,41229.22244296677,33331.45454141086,4.312793079706308,2.8065960463293687,3.1445623517854333e7,2.9626202313467745e7,-1.8194212043865882e6,3.241718321752391e6,-5.7859282178124065,17.117788423354423,-0.41631
29.0,4.145329891848719,4.146916573039896,0.0015866811911768863,0.002684099368845545,0.038276355141164994,0.06590568279918213,29783.307252589617,29783.236786227135,29792.854927969674,29795.760467567132,-0.07046636248196592,0.4932244175006447,-0.00023659683555068913,0.001688253410308909,917000.8179363287,951161.2120189996,34160.394082670915,33331.45454141086,3.7252304921109483,2.8065960463293687,2.8300292183871374e7,2.6352418193080924e7,-1.947873990790449e6,3.241718321752391e6,-6.882875901544799,17.117788423354423,0.39479
30.0,4.106049717945901,4.109420078421218,0.0033703604753174687,0.002684099368845545,0.08208279750210942,0.06590568279918213,29780.44049696329,29780.372308659786,29789.966715781247,29792.639002227505,-0.06818830350312055,0.4932244175006447,-0.00022897009703423866,0.001688253410308909,972808.0924623618,1.0015825456574964e6,28774.453195134643,33331.45454141086,2.9578755993179544,2.8065960463293687,2.70200074640129e7,2.5655491803345207e7,-1.3645156606676914e6,3.241718321752391e6,-5.050019554898521,17.117788423354423,1.4094
31.0,4.166099594630626,4.166286433332085,0.0001868387014596351,0.002684099368845545,0.004484739195876102,0.06590568279918213,29768.25247140206,29768.18309629383,29778.155062273334,29780.64892443935,-0.0693751082289964,0.4932244175006447,-0.00023305065789684524,0.001688253410308909,1.219178312447493e6,1.244192093670982e6,25013.78122348897,33331.45454141086,2.051691780283883,2.8065960463293687,2.8315041609462623e7,2.82022623145423e7,-112779.29492032155,3.241718321752391e6,-0.39830171000925446,17.117788423354423,-0.067283
32.0,4.144982310774689,4.146024602054318,0.0010422912796288486,0.002684099368845545,0.025145855916428417,0.06590568279918213,29765.9766220325,29765.90689571126,29775.975459925103,29778.351327777284,-0.06972632123870426,0.4932244175006447,-0.00023424839078551676,0.001688253410308909,1.2434807905560185e6,1.2663117940130625e6,22831.00345704402,33331.45454141086,1.836055983368686,2.8065960463293687,2.867981790088505e7,2.9261153653314337e7,581335.7524292879,3.241718321752391e6,2.0269855075033374,17.117788423354423,0.40082
33.0,4.229913587158551,4.227011861810414,-0.002901725348136708,0.002684099368845545,-0.06860010939575588,0.06590568279918213,29771.121778817822,29771.05307709259,29780.85703088851,29783.161488077665,-0.06870172523122164,0.4932244175006447,-0.00023076633034400126,0.001688253410308909,1.107843890478306e6,1.1295957514758701e6,21751.86099756416,33331.45454141086,1.9634409851890688,2.8065960463293687,2.751122000985205e7,2.8015628150447994e7,504408.14059594274,3.241718321752391e6,1.8334633666384441,17.117788423354423,-1.6765
34.0,4.268629287221082,4.263438399057732,-0.005190888163350671,0.002684099368845545,-0.12160550411089899,0.06590568279918213,29784.679416490682,29784.614567122586,29794.012955256512,29796.212857908544,-0.06484936809647479,0.4932244175006447,-0.00021772726571826076,0.001688253410308909,810117.8413717924,829433.760879353,19315.91950756067,33331.45454141086,2.3843345401272176,2.8065960463293687,2.4250870728090618e7,2.3889021966750365e7,-361848.76134025306,3.241718321752391e6,-1.4921062645437764,17.117788423354423,-3.0094
35.0,4.271557386377207,4.267047076786111,-0.004510309591096551,0.002684099368845545,-0.1055893479385474,0.06590568279918213,29816.352387158004,29816.300900020662,29824.40008858166,29826.355457851023,-0.05148713734160992,0.4932244175006447,-0.00017268087213708136,0.001688253410308909,136952.85593150472,149490.90927265264,12538.053341147926,33331.45454141086,9.155014151306693,2.8065960463293687,1.6723926972451078e7,1.425479511523597e7,-2.4691318572151083e6,3.241718321752391e6,-14.764067442308553,17.117788423354423,-2.9658
36.0,4.272312158694625,4.26850150562281,-0.00381065307181494,0.002684099368845545,-0.08919416302621619,0.06590568279918213,29844.209050953817,29844.175913617426,29850.835017608446,29852.367267270907,-0.03313733639151906,0.4932244175006447,-0.00011103439308759296,0.001688253410308909,-435185.07746001193,-434253.8728200042,-931.2046400077525,33331.45454141086,0.2139789915230534,2.8065960463293687,8.444432477782398e6,3.9292943776944294e6,-4.515138100087969e6,3.241718321752391e6,-53.46881642984839,17.117788423354423,-2.8139
37.0,4.2570114740132,4.254700436190627,-0.0023110378225723593,0.002684099368845545,-0.0542877987686907,0.06590568279918213,29862.45605724481,29862.439504798906,29868.231165614867,29869.237149591358,-0.016552445904380875,0.4932244175006447,-5.5428950226500714e-5,0.001688253410308909,-776968.2517479821,-789511.258781033,12543.007033050875,33331.45454141086,-1.6143525819532885,2.8065960463293687,1.5558673013713928e6,-4.0977223227600395e6,2.5418550213886467e6,3.241718321752391e6,163.3722245559227,17.117788423354423,-2.1029
38.0,4.25040863651591,4.2486202895519005,-0.0017883469640098681,0.002684099368845545,-0.042074706621050645,0.06590568279918213,29872.00392549296,29871.996360351543,29877.49940145691,29878.07060997033,-0.007565141419036081,0.4932244175006447,-2.532518888891796e-5,0.001688253410308909,-917772.2528372941,-939697.1186799337,21924.865842639585,33331.45454141086,-2.3889222816291116,2.8065960463293687,-3.3130020845680125e6,-9.08780402403617e6,5.774801939468158e6,3.241718321752391e6,-174.30722323922544,17.117788423354423,-1.7886
39.0,4.226605289848721,4.226052073668191,-0.0005532161805303915,0.002684099368845545,-0.013088900964068782,0.06590568279918213,29875.42477747381,29875.41885188231,29880.983341513453,29881.276791156088,-0.005925591500272276,0.4932244175006447,-1.9834333886158484e-5,0.001688253410308909,-925538.8072527797,-951504.4627060102,25965.655453230487,33331.45454141086,-2.805463720133222,2.8065960463293687,-6.324858527489936e6,-1.15242670847838e7,5.199408557293864e6,3.241718321752391e6,-82.20592657836546,17.117788423354423,-1.0515
40.0,4.19721162495877,4.1978114172284196,0.0005997922696492353,0.002684099368845545,0.014290255608808552,0.06590568279918213,29874.363307767202,29874.355047280995,29880.068077472588,29880.22450345224,-0.008260486207291251,0.4932244175006447,-2.7650752326305015e-5,0.001688253410308909,-847138.7619731132,-873259.3507913729,26120.58881825977,33331.45454141086,-3.0833896394282565,2.8065960463293687,-7.7614503041365575e6,-1.2037979894612791e7,4.2765295904762335e6,3.241718321752391e6,-55.099619567196164,17.117788423354423,-0.33154
41.0,4.181923931085034,4.182835392593674,0.0009114615086396327,0.002684099368845545,0.02179526752900899,0.06590568279918213,29866.865116773177,29866.85127720941,29872.846404384327,29872.997709283176,-0.01383956376594142,0.4932244175006447,-4.633751721793242e-5,0.001688253410308909,-644094.1021518244,-667213.0188726233,23118.916720798938,33331.45454141086,-3.5893694172267705,2.8065960463293687,-7.28705630066989e6,-1.0348685003321962e7,3.0616287026520725e6,3.241718321752391e6,-42.01461572858468,17.117788423354423,-0.00027238
42.0,4.180689403593384,4.181320335381048,0.0006309317876640463,0.002684099368845545,0.015091572866469062,0.06590568279918213,29857.645378746896,29857.626259709297,29863.856474990276,29864.033235442374,-0.01911903759901179,0.4932244175006447,-6.403397641202141e-5,0.001688253410308909,-423182.61218920624,-443106.9767615813,19924.36457237508,33331.45454141086,-4.7082190993865405,2.8065960463293687,-5.681346771336939e6,-7.5381810857456345e6,1.8568343144086953e6,3.241718321752391e6,-32.68299558436817,17.117788423354423,0.012859
43.0,4.179975228467169,4.180409442172637,0.0004342137054678119,0.002684099368845545,0.01038794925172419,0.06590568279918213,29851.07846984735,29851.05530507354,29857.41637099317,29857.623563162986,-0.023164773811004125,0.4932244175006447,-7.760112866408803e-5,0.001688253410308909,-272019.8668174904,-289176.0600171642,17156.193199673842,33331.45454141086,-6.306963311317499,2.8065960463293687,-4.0154538507793793e6,-5.009968852649389e6,994515.0018700096,3.241718321752391e6,-24.767187940087503,17.117788423354423,0.012859
44.0,4.179390889418321,4.179714791745614,0.0003239023272927355,0.002684099368845545,0.007749988834804001,0.06590568279918213,29847.245467739613,29847.21933510664,29853.629815184555,29853.87727405657,-0.02613263297098456,0.4932244175006447,-8.75545885774619e-5,0.001688253410308909,-185209.72340146417,-199864.68266459854,14654.95926313437,33331.45454141086,-7.9126295282931745,2.8065960463293687,-2.690379338640624e6,-3.221630189707573e6,531250.8510669488,3.241718321752391e6,-19.74631768230035,17.117788423354423,0.012859
45.0,4.1789154833261355,4.179169570785351,0.00025408745921584597,0.002684099368845545,0.00608022488680746,0.06590568279918213,29844.634179333258,29844.605928197354,29851.027540689676,29851.317824423117,-0.028251135903701652,0.4932244175006447,-9.466068752574938e-5,0.001688253410308909,-126986.92284062064,-139512.3715518962,12525.448711275574,33331.45454141086,-9.863573690179166,2.8065960463293687,-1.6206063625614143e6,-1.944358694508698e6,323752.3319472838,3.241718321752391e6,-19.977234412160648,17.117788423354423,0.012859
46.0,4.178525928597889,4.178730139496205,0.0002042108983157931,0.002684099368845545,0.004887151636852865,0.06590568279918213,29842.71026333318,29842.680559368233,29849.092242121802,29849.4227516595,-0.029703964948566863,0.4932244175006447,-9.953507803566758e-5,0.001688253410308909,-84817.89921828813,-95605.689769999,10787.79055171086,33331.45454141086,-12.718766499919198,2.8065960463293687,-734033.0389752437,-975127.8979411415,241094.85896589782,3.241718321752391e6,-32.845232593682894,17.117788423354423,0.012859
