Time (s),Voltage (V),Concentration (mol/m³),Stress (Pa)
257.0,4.0989939933290716,29592.16286336772,1.8979715849831619e6
258.0,4.098820035606515,29592.067840115713,1.8729242847740185e6
259.0,4.099000667118132,29591.802440334686,1.8509951145582243e6
260.0,4.099489681851713,29591.492465202893,1.8297322487809858e6
261.0,4.1001260605899486,29591.22312215871,1.8075822075107072e6
262.0,4.100661704636986,29591.018881348416,1.7842271762360602e6
263.0,4.100803153545385,29590.834091830773,1.7607021570586395e6
264.0,4.1002586355762665,29590.5555198436,1.7392811314424365e6
265.0,4.098782080719578,29590.015636516073,1.7231661085146423e6
266.0,4.096207873517515,29589.013760931462,1.7160436570443553e6
267.0,4.092473217615206,29587.341399068875,1.7215847521115437e6
268.0,4.087627974698179,29584.808318386837,1.742956756753023e6
269.0,4.081833903093718,29581.266804120485,1.782397419401444e6
270.0,4.075355947667426,29576.63276868467,1.8408784075191717e6
271.0,4.068547822282622,29570.903498123815,1.9178679937737081e6
272.0,4.0618330585098885,29564.17249658772,2.0111934441118625e6
273.0,4.055681633810204,29556.641977832514,2.117003388059384e6
274.0,4.050581786408051,29548.63302040319,2.2298357106884047e6
275.0,4.04700695102249,29540.5922475529,2.342802790644304e6
276.0,4.0453788014970975,29533.09238231613,2.447908181191037e6
277.0,4.046028876531642,29526.82258259731,2.536503752623723e6
278.0,4.049162655536262,29522.563595121763,2.599883171644082e6
279.0,4.054830737435244,29521.143117044714,2.629987530997906e6
280.0,4.0629116230462845,29523.369143332366,2.6201735302544916e6
281.0,4.073109465706899,29529.943516531424,2.565969137349142e6
282.0,4.084968119772299,29541.36370219076,2.46572280084284e6
283.0,4.097900377587377,29557.826732645586,2.3210459825484366e6
284.0,4.11122903651387,29579.153482023125,2.1369601902278494e6
285.0,4.124234919957971,29604.75156931745,1.9216937677101071e6
286.0,4.136206436478091,29633.630412059523,1.686125955896324e6
287.0,4.146485951177122,29664.472870753554,1.4429350891937793e6
300.0,4.154509780165308,29695.756330190627,1.2055608685271624e6
301.0,4.159840430829287,29725.9048474308,987123.505548497
302.0,4.16219114412541,29753.447085962805,799441.3205959933
303.0,4.1614435730531785,29777.154047997807,652253.7013130465
400.0,4.157659047833825,29796.136108461604,552700.4224704432
401.0,4.151082821307766,29809.88897117631,505048.6033983378
402.0,4.142139482595706,29818.29001200298,510613.0879308575
403.0,4.131417098724418,29821.55593970524,567801.6852289648
404.0,4.119637907364047,29820.177606909267,672234.4832306283
405.0,4.107615214054817,29814.8477027288,816924.086209381
406.0,4.096198582291048,29806.392938401936,992542.4427099365
407.0,4.086212030078206,29795.716244560736,1.187822280173467e6
408.0,4.078391689681095,29783.74936960375,1.3901331249279133e6
409.0,4.073329862335818,29771.41321996811,1.5862377088586788e6
410.0,4.071430712646003,29759.58263913903,1.7631863491347283e6
411.0,4.072880577682057,29749.053628755508,1.9092611311698642e6
412.0,4.077632853228636,29740.512884654374,2.0148571436922438e6
413.0,4.085406548478609,29734.510028646975,2.0731995162806802e6
414.0,4.095697758262742,29731.43335915775,2.0808230255827457e6
415.0,4.107805226714612,29731.49028914779,2.0377759633320812e6
416.0,4.120872488397303,29734.693317902234,1.9475511802781657e6
417.0,4.13395114075953,29740.852633267037,1.8167750863623358e6
418.0,4.146084366115578,29749.579356233404,1.6546755948265463e6
419.0,4.156403516826474,29760.30408157191,1.4723520831399052e6
420.0,4.164224198960207,29772.31338513137,1.2818949467353374e6
421.0,4.169124750600526,29784.804872162385,1.095415769114418e6
500.0,4.170986312721624,29796.95813201947,924063.202805652
501.0,4.169985193197658,29808.01277619591,777131.6401409227
600.0,4.1665416264846575,29817.3417423287,661374.4209543278
600.9999999999999,4.16123780850199,29824.510008296755,580578.696995961
601.9999999999999,4.15472386194674,29829.31174282065,535405.5877451
602.9999999999999,4.147635859901493,29831.782955522427,523454.90730533004
603.9999999999998,4.140540359828078,29832.187774239013,539562.0026788774
604.9999999999998,4.1339026670790435,29830.980752796524,576311.2547658326
605.9999999999997,4.12807625359857,29828.74829619728,624767.712541008
606.9999999999997,4.123305595487244,29826.13161473187,675461.8994048617
607.9999999999997,4.119731376462704,29823.732518967307,719678.0783813095
608.9999999999995,4.117387017754905,29822.020910762065,750771.3613306622
609.9999999999995,4.1162003453514355,29821.26097318947,765244.1098942105
610.9999999999994,4.115996968406213,29821.469852498994,763359.695959953
611.9999999999994,4.116509573686612,29822.42178107089,749066.7017262229
700.0,4.117400658657914,29823.70909659328,729028.5518129899
701.0,4.1183154120082435,29824.83678989292,711131.1267189095
701.9999999999999,4.118938459813755,29825.32740132815,702838.7398345341
702.9999999999999,4.119055466775068,29824.816813741578,709693.9699799005
703.9999999999999,4.1186093135065205,29823.12002322944,734296.8203773511
704.9999999999998,4.117727071653879,29820.25249931973,776003.5348285954
705.9999999999998,4.116684985380246,29816.420164163428,831137.6785819316
706.9999999999997,4.115835116894284,29811.986868706146,893591.4312266025
707.9999999999997,4.115504254634503,29807.426363520946,955725.6998592035
708.9999999999997,4.11587573071535,29803.273124581116,1.00932499277481e6
709.9999999999995,4.116897432099132,29800.055575630326,1.0467938150014151e6
710.9999999999995,4.118263018074581,29798.210627616936,1.0625821922602698e6
711.9999999999995,4.119470279746972,29797.993742615938,1.0545313893606972e6
712.9999999999994,4.119929604919015,29799.399471037457,1.0248509634108382e6
713.9999999999994,4.119124238071052,29802.09397106854,980719.9517162908
714.9999999999993,4.116774955223091,29805.43537659772,933486.8930022798
715.9999999999993,4.112944068719505,29808.58325914861,896497.4718900265
800.0,4.1080404739955805,29810.665983444145,882210.737610759
800.9999999999999,4.102760703441471,29810.970863172184,899280.6926367106
801.9999999999999,4.09795042959492,29809.139010830237,949911.2526371574
802.9999999999998,4.094412329345111,29805.25095292469,1.0290744721223356e6
803.9999999999998,4.092748718422953,29799.790609236585,1.1257608927378256e6
804.9999999999998,4.093281893876085,29793.51964450362,1.2255554938243798e6
805.9999999999997,4.096024610619196,29787.303415717877,1.3137145029182807e6
806.9999999999997,4.100712633129044,29781.9121411947,1.3783094332361156e6
807.9999999999997,4.10691159570184,29777.8882636642,1.4121410715553327e6
808.9999999999995,4.114116450938281,29775.499056774464,1.4131087954512131e6
809.9999999999995,4.121818554789842,29774.75763573863,1.383436332502867e6
810.9999999999994,4.129552784963517,29775.483372176976,1.3283569388551165e6
811.9999999999994,4.13694326793255,29777.385493481426,1.2545729004812434e6
812.9999999999994,4.14371544092443,29780.153429590504,1.168821478976487e6
813.9999999999993,4.149694241857136,29783.52310992242,1.0769291914753376e6
814.9999999999993,4.154803925665274,29787.32032647888,983304.5587753251
815.9999999999992,4.159077085098103,29791.490737683238,890657.3138247896
816.9999999999992,4.162616513198798,29796.125166402122,799767.5753656373
817.9999999999992,4.16552647599532,29801.382763709455,710233.5481737262
818.9999999999991,4.16787385558773,29807.409463208005,621295.7483360227
819.9999999999991,4.169673694623829,29814.252790148195,532713.3631131763
820.9999999999991,4.170875919209581,29821.77874267534,445587.46540559566
821.999999999999,4.171405284842217,29829.586533533216,363221.55623357126
900.0,4.171243465289053,29837.123931826714,290074.01292954164
901.0,4.17046975563832,29843.8052851922,230668.4335103339
